RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,PROPERTY_TYPE,PROPERTY_SUBTYPE,PROPERTY_DESCRIPTION,PROJECT_NAME,BUILDING_NAME,TOWER_NAME,FLAT_NUMBER,FLOOR_NUMBER,PLOT_NUMBER,SURVEY_NUMBER,CTS_NUMBER,KHATA_NUMBER,MUNICIPAL_PROPERTY_ID,PROPERTY_TAX_NUMBER,REGISTRATION_NUMBER,SALE_DEED_NUMBER,REGISTRATION_DATE,REGISTRAR_OFFICE,OCCUPANCY_STATUS,CONSTRUCTION_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,LOCALITY,LANDMARK,CITY,DISTRICT,STATE,PINCODE,COUNTRY,LATITUDE,LONGITUDE,BUILT_UP_AREA,LAND_AREA,AREA_UNIT,NUMBER_OF_FLOORS,YEAR_OF_CONSTRUCTION,PROPERTY_AGE_YEARS
PROPERTY,ABC-COL-0001,COMMERCIAL,PLOT,Residential plot with demarcation,,,,,,Plot 1,101/B,,,PID-MH-2021-88001,PT-MH-9900001,REG/2018/100001,SD/2018/50001,2018-07-19,Sub-Registrar Fort Mumbai,SELF_OCCUPIED,PLOT_ONLY,"11, Fort Main Road",Near Fort Market,Fort,Opposite Fort Bus Stand,Mumbai,Mumbai City,MH,400001,IN,18.933200,72.832100,,19392.45,SQFT,,2006,20
PROPERTY,ABC-COL-0002,RESIDENTIAL,ROW_HOUSE,Row house in gated community,Godrej Platinum,,,,,Plot 2,,,,PID-MH-2022-88002,PT-MH-9900002,REG/2019/100002,SD/2019/50002,2019-06-28,Sub-Registrar Powai Mumbai,UNDER_CONSTRUCTION,PLOT_ONLY,"12, Powai Main Road",Near Powai Market,Powai,,Mumbai,Mumbai Suburban,MH,400076,IN,19.119600,72.908000,2235.34,1470.06,SQM,,2007,19
PROPERTY,ABC-COL-0003,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Lodha Palava,Tower D,Block 4,103,4,,,CTS 403/4/1,,PID-MH-2023-88003,PT-MH-9900003,REG/2019/100003,SD/2019/50003,2019-03-09,Sub-Registrar Koregaon Park Pune,UNDER_CONSTRUCTION,COMPLETED,"13, Koregaon Park Main Road",,Koregaon Park,Opposite Koregaon Park Bus Stand,Pune,Pune,MH,411014,IN,18.539200,73.898800,523.27,627.62,SQM,8,2008,18
PROPERTY,ABC-COL-0004,INDUSTRIAL,FACTORY,Manufacturing unit in industrial estate,,,,,,Plot 4,,,,PID-MH-2024-88004,PT-MH-9900004,REG/2022/100004,SD/2022/50004,2022-02-06,Sub-Registrar Ghodbunder Road Thane,UNDER_CONSTRUCTION,COMPLETED,"14, Ghodbunder Road Main Road",Near Ghodbunder Road Market,Ghodbunder Road,,Thane,Thane,MH,400601,IN,19.222300,72.982100,846.59,3671.17,SQM,,2009,17
PROPERTY,ABC-COL-0005,RESIDENTIAL,PLOT,Residential plot with demarcation,,,,,,Plot 5,105/C,,,PID-MH-2020-88005,PT-MH-9900005,REG/2022/100005,SD/2022/50005,2022-11-13,Sub-Registrar Dharampeth Nagpur,UNDER_CONSTRUCTION,PLOT_ONLY,"15, Dharampeth Main Road",Near Dharampeth Market,Dharampeth,Opposite Dharampeth Bus Stand,Nagpur,Nagpur,MH,440010,IN,21.150800,79.093200,,23392.98,SQM,,2010,16
PROPERTY,ABC-COL-0006,AGRICULTURAL,LAND,Agricultural land with irrigation access,,,,,,Plot 6,106/A,,KH-560-800006,PID-KA-2021-88006,PT-KA-9900006,REG/2023/100006,SD/2023/50006,2023-10-09,Sub-Registrar HSR Layout Bengaluru,SELF_OCCUPIED,PLOT_ONLY,"16, HSR Layout Main Road",,HSR Layout,,Bengaluru,Bengaluru Urban,KA,560102,IN,12.917600,77.644900,,9.7418,BIGHA,,2011,15
PROPERTY,ABC-COL-0007,RESIDENTIAL,ROW_HOUSE,Row house in gated community,Mahindra Lifespaces Eden,,,,,Plot 7,,,KH-560-800007,PID-KA-2022-88007,PT-KA-9900007,REG/2018/100007,SD/2018/50007,2018-03-27,Sub-Registrar Whitefield Bengaluru,SELF_OCCUPIED,COMPLETED,"17, Whitefield Main Road",Near Whitefield Market,Whitefield,Opposite Whitefield Bus Stand,Bengaluru,Bengaluru Urban,KA,560066,IN,12.976800,77.757000,2923.31,3118.28,SQFT,,2012,14
PROPERTY,ABC-COL-0008,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Puravankara Purva Park,Tower D,Block 1,108,9,,,,KH-570-800008,PID-KA-2023-88008,PT-KA-9900008,REG/2018/100008,SD/2018/50008,2018-07-06,Sub-Registrar Vijayanagar Mysuru,UNDER_CONSTRUCTION,COMPLETED,"18, Vijayanagar Main Road",Near Vijayanagar Market,Vijayanagar,,Mysuru,Mysuru,KA,570001,IN,12.303800,76.647400,1302.38,3336.34,SQM,13,2013,13
PROPERTY,ABC-COL-0009,RESIDENTIAL,VILLA,Independent villa with boundary wall,Embassy Lake Terraces,,,,,Plot 9,,,,PID-TN-2024-88009,PT-TN-9900009,REG/2019/100009,SD/2019/50009,2019-10-10,Sub-Registrar Adyar Chennai,RENTED,COMPLETED,"19, Adyar Main Road",,Adyar,Opposite Adyar Bus Stand,Chennai,Chennai,TN,600028,IN,13.015700,80.266200,1590.58,22720.34,SQM,,2014,12
PROPERTY,ABC-COL-0010,RESIDENTIAL,VILLA,Independent villa with boundary wall,M3M Golf Estate,,,,,Plot 10,210/1,,,PID-TN-2020-88010,PT-TN-9900010,REG/2020/100010,SD/2020/50010,2020-01-21,Sub-Registrar RS Puram Coimbatore,RENTED,COMPLETED,"20, RS Puram Main Road",Near RS Puram Market,RS Puram,,Coimbatore,Coimbatore,TN,641002,IN,11.005600,76.966100,977.51,11238.75,SQFT,,2015,11
